file_no,relative_path,top_folder,sub_folder,country,state,district,year,quarter,row_count_extracted,status,error
203,aggregated\insurance\country\india\state\goa\2023\2.json,aggregated,insurance,India,Goa,,2023,2,1,success,
204,aggregated\insurance\country\india\state\goa\2023\3.json,aggregated,insurance,India,Goa,,2023,3,1,success,
205,aggregated\insurance\country\india\state\goa\2023\4.json,aggregated,insurance,India,Goa,,2023,4,1,success,
206,aggregated\insurance\country\india\state\goa\2024\1.json,aggregated,insurance,India,Goa,,2024,1,1,success,
207,aggregated\insurance\country\india\state\goa\2024\2.json,aggregated,insurance,India,Goa,,2024,2,1,success,
208,aggregated\insurance\country\india\state\goa\2024\3.json,aggregated,insurance,India,Goa,,2024,3,1,success,
209,aggregated\insurance\country\india\state\goa\2024\4.json,aggregated,insurance,India,Goa,,2024,4,1,success,
210,aggregated\insurance\country\india\state\gujarat\2020\2.json,aggregated,insurance,India,Gujarat,,2020,2,1,success,
211,aggregated\insurance\country\india\state\gujarat\2020\3.json,aggregated,insurance,India,Gujarat,,2020,3,1,success,
212,aggregated\insurance\country\india\state\gujarat\2020\4.json,aggregated,insurance,India,Gujarat,,2020,4,1,success,
213,aggregated\insurance\country\india\state\gujarat\2021\1.json,aggregated,insurance,India,Gujarat,,2021,1,1,success,
214,aggregated\insurance\country\india\state\gujarat\2021\2.json,aggregated,insurance,India,Gujarat,,2021,2,1,success,
215,aggregated\insurance\country\india\state\gujarat\2021\3.json,aggregated,insurance,India,Gujarat,,2021,3,1,success,
216,aggregated\insurance\country\india\state\gujarat\2021\4.json,aggregated,insurance,India,Gujarat,,2021,4,1,success,
217,aggregated\insurance\country\india\state\gujarat\2022\1.json,aggregated,insurance,India,Gujarat,,2022,1,1,success,
218,aggregated\insurance\country\india\state\gujarat\2022\2.json,aggregated,insurance,India,Gujarat,,2022,2,1,success,
219,aggregated\insurance\country\india\state\gujarat\2022\3.json,aggregated,insurance,India,Gujarat,,2022,3,1,success,
220,aggregated\insurance\country\india\state\gujarat\2022\4.json,aggregated,insurance,India,Gujarat,,2022,4,1,success,
221,aggregated\insurance\country\india\state\gujarat\2023\1.json,aggregated,insurance,India,Gujarat,,2023,1,1,success,
222,aggregated\insurance\country\india\state\gujarat\2023\2.json,aggregated,insurance,India,Gujarat,,2023,2,1,success,
223,aggregated\insurance\country\india\state\gujarat\2023\3.json,aggregated,insurance,India,Gujarat,,2023,3,1,success,
